Section,Speed,Bar,Av1_N1,Av1_N2,Av1_N3,Av1_N4,Av1_N5,Av1_N6,Av1_N7,Av1_N8
Pallavi,1,1,S',N,D,P,M,G,R,S
Pallavi,1,2,S,",",",",",",S,",",",",","
Pallavi,1,3,G,R,S,N.,S,R,G,M
Pallavi,1,4,S,R,G,M,P,D,N,S'
Pallavi,2,5,S',N,D,P,M,G,R,S
Pallavi,2,6,S,",",",",",",S,",",",",","
Pallavi,2,7,G,R,S,N.,S,R,G,M
Pallavi,2,8,S,R,G,M,P,D,N,S'
Pallavi,3,9,S',N,D,P,M,G,R,S
Pallavi,3,10,S,",",",",",",S,",",",",","
Pallavi,3,11,G,R,S,N.,S,R,G,M
Pallavi,3,12,S,R,G,M,P,D,N,S'
Pallavi,1,13,S',N,D,P,M,G,R,S
Pallavi,1,14,S,",",",",",",S,",",",",","
Pallavi,1,15,G,R,S,N.,S,S,N.,S
Pallavi,1,16,S,N.,S,R,G,M,P,M
Pallavi,1,17,G,R,S,N.,S,R,G,M
Pallavi,1,18,S,R,G,M,P,D,N,S'
Pallavi,2,19,S',N,D,P,M,G,R,S
Pallavi,2,20,S,",",",",",",S,",",",",","
Pallavi,2,21,G,R,S,N.,S,S,N.,S
Pallavi,2,22,S,N.,S,R,G,M,P,M
Pallavi,2,23,G,R,S,N.,S,R,G,M
Pallavi,2,24,S,R,G,M,P,D,N,S'
Pallavi,3,25,S',N,D,P,M,G,R,S
Pallavi,3,26,S,",",",",",",S,",",",",","
Pallavi,3,27,G,R,S,N.,S,S,N.,S
Pallavi,3,28,S,N.,S,R,G,M,P,M
Pallavi,3,29,G,R,S,N.,S,R,G,M
Pallavi,3,30,S,R,G,M,P,D,N,S'
Pallavi,1,31,S',N,D,P,M,G,R,S
Pallavi,1,32,S,",",",",",",S,",",",",","
Pallavi,1,33,G,R,S,N.,D.,N.,S,N.
Pallavi,1,34,S,N.,S,R,G,M,P,M
Pallavi,1,35,G,R,S,N.,S,S,N.,S
Pallavi,1,36,S,N.,S,R,G,M,P,M
Pallavi,1,37,G,R,S,N.,S,R,G,M
Pallavi,1,38,S,R,G,M,P,D,N,S'
Pallavi,2,39,S',N,D,P,M,G,R,S
Pallavi,2,40,S,",",",",",",S,",",",",","
Pallavi,2,41,G,R,S,N.,D.,N.,S,N.
Pallavi,2,42,S,N.,S,R,G,M,P,M
Pallavi,2,43,G,R,S,N.,S,S,N.,S
Pallavi,2,44,S,N.,S,R,G,M,P,M
Pallavi,2,45,G,R,S,N.,S,R,G,M
Pallavi,2,46,S,R,G,M,P,D,N,S'
Pallavi,3,47,S',N,D,P,M,G,R,S
Pallavi,3,48,S,",",",",",",S,",",",",","
Pallavi,3,49,G,R,S,N.,D.,N.,S,N.
Pallavi,3,50,S,N.,S,R,G,M,P,M
Pallavi,3,51,G,R,S,N.,S,S,N.,S
Pallavi,3,52,S,N.,S,R,G,M,P,M
Pallavi,3,53,G,R,S,N.,S,R,G,M
Pallavi,3,54,S,R,G,M,P,D,N,S'
