Section,Speed,Bar,Av1_N1,Av1_N2,Av1_N3,Av1_N4,Av1_N5,Av1_N6,Av1_N7,Av1_N8
Pallavi,1,1,S,R,G,M,P,D,N,S'
Pallavi,1,2,S',N,D,P,M,G,R,S
Pallavi,2,3,S,R,G,M,P,D,N,S'
Pallavi,2,4,S',N,D,P,M,G,R,S
Pallavi,3,5,S,R,G,M,P,D,N,S'
Pallavi,3,6,S',N,D,P,M,G,R,S
Pallavi,1,7,S,R,G,M,S,R,G,M
Pallavi,1,8,S,R,G,M,P,D,N,S'
Pallavi,1,9,S',N,D,P,S',N,D,P
Pallavi,1,10,S',N,D,P,M,G,R,S
Pallavi,2,11,S,R,G,M,S,R,G,M
Pallavi,2,12,S,R,G,M,P,D,N,S'
Pallavi,2,13,S',N,D,P,S',N,D,P
Pallavi,2,14,S',N,D,P,M,G,R,S
Pallavi,3,15,S,R,G,M,S,R,G,M
Pallavi,3,16,S,R,G,M,P,D,N,S'
Pallavi,3,17,S',N,D,P,S',N,D,P
Pallavi,3,18,S',N,D,P,M,G,R,S
Pallavi,1,19,S,R,G,M,S,R,S,R
Pallavi,1,20,S,R,G,M,P,D,N,S'
Pallavi,1,21,S',N,D,P,S',N,S',N
Pallavi,1,22,S',N,D,P,M,G,R,S
Pallavi,2,23,S,R,G,M,S,R,S,R
Pallavi,2,24,S,R,G,M,P,D,N,S'
Pallavi,2,25,S',N,D,P,S',N,S',N
Pallavi,2,26,S',N,D,P,M,G,R,S
Pallavi,3,27,S,R,G,M,S,R,S,R
Pallavi,3,28,S,R,G,M,P,D,N,S'
Pallavi,3,29,S',N,D,P,S',N,S',N
Pallavi,3,30,S',N,D,P,M,G,R,S
Pallavi,1,31,S,R,G,S,R,G,S,R
Pallavi,1,32,S,R,G,M,P,D,N,S'
Pallavi,1,33,S',N,D,S',N,D,S',N
Pallavi,1,34,S',N,D,P,M,G,R,S
Pallavi,2,35,S,R,G,S,R,G,S,R
Pallavi,2,36,S,R,G,M,P,D,N,S'
Pallavi,2,37,S',N,D,S',N,D,S',N
Pallavi,2,38,S',N,D,P,M,G,R,S
Pallavi,3,39,S,R,G,S,R,G,S,R
Pallavi,3,40,S,R,G,M,P,D,N,S'
Pallavi,3,41,S',N,D,S',N,D,S',N
Pallavi,3,42,S',N,D,P,M,G,R,S
Pallavi,1,43,S,R,G,M,P,",",S,R
Pallavi,1,44,S,R,G,M,P,D,N,S'
Pallavi,1,45,S',N,D,P,M,",",S',N
Pallavi,1,46,S',N,D,P,M,G,R,S
Pallavi,2,47,S,R,G,M,P,",",S,R
Pallavi,2,48,S,R,G,M,P,D,N,S'
Pallavi,2,49,S',N,D,P,M,",",S',N
Pallavi,2,50,S',N,D,P,M,G,R,S
Pallavi,3,51,S,R,G,M,P,",",S,R
Pallavi,3,52,S,R,G,M,P,D,N,S'
Pallavi,3,53,S',N,D,P,M,",",S',N
Pallavi,3,54,S',N,D,P,M,G,R,S
Pallavi,1,55,S,R,G,M,P,M,G,R
Pallavi,1,56,S,R,G,M,P,D,N,S'
Pallavi,1,57,S',N,D,P,M,P,D,N
Pallavi,1,58,S',N,D,P,M,G,R,S
Pallavi,2,59,S,R,G,M,P,M,G,R
Pallavi,2,60,S,R,G,M,P,D,N,S'
Pallavi,2,61,S',N,D,P,M,P,D,N
Pallavi,2,62,S',N,D,P,M,G,R,S
Pallavi,3,63,S,R,G,M,P,M,G,R
Pallavi,3,64,S,R,G,M,P,D,N,S'
Pallavi,3,65,S',N,D,P,M,P,D,N
Pallavi,3,66,S',N,D,P,M,G,R,S
Pallavi,1,67,S,R,G,M,P,M,D,P
Pallavi,1,68,S,R,G,M,P,D,N,S'
Pallavi,1,69,S',N,D,P,M,P,G,M
Pallavi,1,70,S',N,D,P,M,G,R,S
Pallavi,2,71,S,R,G,M,P,M,D,P
Pallavi,2,72,S,R,G,M,P,D,N,S'
Pallavi,2,73,S',N,D,P,M,P,G,M
Pallavi,2,74,S',N,D,P,M,G,R,S
Pallavi,3,75,S,R,G,M,P,M,D,P
Pallavi,3,76,S,R,G,M,P,D,N,S'
Pallavi,3,77,S',N,D,P,M,P,G,M
Pallavi,3,78,S',N,D,P,M,G,R,S
