Section,Speed,Bar,Av1_N1,Av1_N2,Av1_N3,Av1_N4,Av1_N5,Av1_N6,Av1_N7,Av1_N8
Pallavi,1,1,S,R,G,M,P,D,N,S'
Pallavi,1,2,S',",",",",",",S',",",",",","
Pallavi,1,3,D,N,S',R',S',N,D,P
Pallavi,1,4,S',N,D,P,M,G,R,S
Pallavi,2,5,S,R,G,M,P,D,N,S'
Pallavi,2,6,S',",",",",",",S',",",",",","
Pallavi,2,7,D,N,S',R',S',N,D,P
Pallavi,2,8,S',N,D,P,M,G,R,S
Pallavi,3,9,S,R,G,M,P,D,N,S'
Pallavi,3,10,S',",",",",",",S',",",",",","
Pallavi,3,11,D,N,S',R',S',N,D,P
Pallavi,3,12,S',N,D,P,M,G,R,S
Pallavi,1,13,S,R,G,M,P,D,N,S'
Pallavi,1,14,S',",",",",",",S',",",",",","
Pallavi,1,15,D,N,S',R',S',S',R',S'
Pallavi,1,16,S',R',S',N,D,P,M,P
Pallavi,1,17,D,N,S',R',S',N,D,P
Pallavi,1,18,S',N,D,P,M,G,R,S
Pallavi,2,19,S,R,G,M,P,D,N,S'
Pallavi,2,20,S',",",",",",",S',",",",",","
Pallavi,2,21,D,N,S',R',S',S',R',S'
Pallavi,2,22,S',R',S',N,D,P,M,P
Pallavi,2,23,D,N,S',R',S',N,D,P
Pallavi,2,24,S',N,D,P,M,G,R,S
Pallavi,3,25,S,R,G,M,P,D,N,S'
Pallavi,3,26,S',",",",",",",S',",",",",","
Pallavi,3,27,D,N,S',R',S',S',R',S'
Pallavi,3,28,S',R',S',N,D,P,M,P
Pallavi,3,29,D,N,S',R',S',N,D,P
Pallavi,3,30,S',N,D,P,M,G,R,S
Pallavi,1,31,S,R,G,M,P,D,N,S'
Pallavi,1,32,S',",",",",",",S',",",",",","
Pallavi,1,33,D,N,S',R',G',M',G',R'
Pallavi,1,34,S',R',S',N,D,P,M,P
Pallavi,1,35,D,N,S',R',S',S',R',S'
Pallavi,1,36,S',R',S',N,D,P,M,P
Pallavi,1,37,D,N,S',R',S',N,D,P
Pallavi,1,38,S',N,D,P,M,G,R,S
Pallavi,2,39,S,R,G,M,P,D,N,S'
Pallavi,2,40,S',",",",",",",S',",",",",","
Pallavi,2,41,D,N,S',R',G',M',G',R'
Pallavi,2,42,S',R',S',N,D,P,M,P
Pallavi,2,43,D,N,S',R',S',S',R',S'
Pallavi,2,44,S',R',S',N,D,P,M,P
Pallavi,2,45,D,N,S',R',S',N,D,P
Pallavi,2,46,S',N,D,P,M,G,R,S
Pallavi,3,47,S,R,G,M,P,D,N,S'
Pallavi,3,48,S',",",",",",",S',",",",",","
Pallavi,3,49,D,N,S',R',G',M',G',R'
Pallavi,3,50,S',R',S',N,D,P,M,P
Pallavi,3,51,D,N,S',R',S',S',R',S'
Pallavi,3,52,S',R',S',N,D,P,M,P
Pallavi,3,53,D,N,S',R',S',N,D,P
Pallavi,3,54,S',N,D,P,M,G,R,S
