Section,Speed,Bar,Av1_N1,Av1_L1,Av1_N2,Av1_L2,Av1_N3,Av1_L3,Av1_N4,Av1_L4,Av1_N5,Av1_L5,Av1_N6,Av1_L6,Av1_N7,Av1_L7,Av1_N8,Av1_L8,,Av2_N1,Av2_L1,Av2_N2,Av2_L2,Av2_N3,Av2_L3,Av2_N4,Av2_L4,Av2_N5,Av2_L5,Av2_N6,Av2_L6,Av2_N7,Av2_L7,Av2_N8,Av2_L8
Pallavi,2,1,G3,NI,",",.,G3,NNU,",",.,R2,KO,",",.,",",.,",",.,,S,RI,S,.,R2,.,R2,.,G3,.,G3,.,R2,.,R2,.
Pallavi,2,3,S,YU,R2,.,G3,.,R2,.,S,NN,R2,AA,S,.,D2.,NU,,S,RA,R2,.,G3,.,P,.,G3,.,R2,.,S,.,R2,.
Pallavi,2,5,G3,NI,P,.,G3,.,G3,.,R2,.,S-,.,R2,KHI,G3,.,,R2,.,R2,.,S,.,D2.,.,S,LA,R2,.,G3,.,R2,.
Pallavi,2,7,G3,LO,P,.,G3,.,P,KA,D2,.,P,.,D2,NA,S',A,,D2,.,D2,.,P-,.,G3,.,D2,YA,P,.,G3,KA,R2,.
Anupallavi,2,9,G3,NA,",",.,G3,NNU,",",.,P,PA,",",A,",",.,",",.,,G3,LI,G3,M,P,.,P,.,D2,.,D2,.,P,PA,",",.
Anupallavi,2,11,D2,SA,S',.,D2,MA,D2,.,P,.,G3-,.,D2,YA,P,.,,D2-,.,G3,MI,D2,.,P,.,G3,DE,R2,.,S,.,R2,.
Anupallavi,2,13,G3,NA,G3,A,P,.,P,.,D2,.,P-,.,D2,ME,S',E,,D2,.,S',DA,R2',.,S',.,G3',KRU,R2',.,",",.,S',PA
Anupallavi,2,15,D2,.,S',.,R2',JO,S',.,",",.,D2,DA,P,.,D2,.,,S',RA,D2,.,",",.,P,.,G3,DA,R2,.,S,.,R2,.
Muktayi Swaram,2,17,G3,,",",,R2,,G3,,R2,,S,,R2,,",",,,S,,R2,,S,,G3,,R2,,G3,,S,,R2,
Muktayi Swaram,2,19,S,,D2.,,S,,R2,,G3,,R2,,G3,,P,,,G3,,P,,D2,,",",,P,,",",,",",,",",
Muktayi Swaram,2,21,G3,,P,,D2,,P,,D2,,S',,R2',,G3',,,R2',,",",,G3',,S',,",",,R2',,D2,,",",
Muktayi Swaram,2,23,S',,P,,",",,D2,,S',,R2',,G3',,S',,,",",,D2,,P,,",",,G3,,R2,,S,,R2,
Pallavi,3,25,G3,NI,",",.,G3,NNU,",",.,R2,KO,",",.,",",.,",",.,,S,RI,S,.,R2,.,R2,.,G3,.,G3,.,R2,.,R2,.
Pallavi,3,27,S,YU,R2,.,G3,.,R2,.,S,NN,R2,AA,S,.,D2.,NU,,S,RA,R2,.,G3,.,P,.,G3,.,R2,.,S,.,R2,.
Pallavi,3,29,G3,NI,P,.,G3,.,G3,.,R2,.,S-,.,R2,KHI,G3,.,,R2,.,R2,.,S,.,D2.,.,S,LA,R2,.,G3,.,R2,.
Pallavi,3,31,G3,LO,P,.,G3,.,P,KA,D2,.,P,.,D2,NA,S',A,,D2,.,D2,.,P-,.,G3,.,D2,YA,P,.,G3,KA,R2,.
Anupallavi,3,33,G3,NA,",",.,G3,NNU,",",.,P,PA,",",A,",",.,",",.,,G3,LI,G3,M,P,.,P,.,D2,.,D2,.,P,PA,",",.
Anupallavi,3,35,D2,SA,S',.,D2,MA,D2,.,P,.,G3-,.,D2,YA,P,.,,D2-,.,G3,MI,D2,.,P,.,G3,DE,R2,.,S,.,R2,.
Anupallavi,3,37,G3,NA,G3,A,P,.,P,.,D2,.,P-,.,D2,ME,S',E,,D2,.,S',DA,R2',.,S',.,G3',KRU,R2',.,",",.,S',PA
Anupallavi,3,39,D2,.,S',.,R2',JO,S',.,",",.,D2,DA,P,.,D2,.,,S',RA,D2,.,",",.,P,.,G3,DA,R2,.,S,.,R2,.
Muktayi Swaram,3,41,G3,,",",,R2,,G3,,R2,,S,,R2,,",",,,S,,R2,,S,,G3,,R2,,G3,,S,,R2,
